year,month,avg_score,avg_response_time_hours,review_count
2017,1,4.070263488080301,67.44552105116409,797
2017,2,4.017454954954955,93.97719078453454,1776
2017,3,4.0724962630792225,99.36968641006477,2676
2017,4,4.043859649122807,111.4754898821127,2394
2017,5,4.142587091547394,94.70339702043387,3703
2017,6,4.147692307692307,82.78355538461538,3250
2017,7,4.1711309523809526,77.26463955026455,4032
2017,8,4.236120709513937,79.29507928280734,4341
2017,9,4.188683656768763,77.03259988829137,4277
2017,10,4.123648940769563,81.62039336840083,4626
2017,11,3.910937085213698,68.97903094858862,7534
2017,12,4.02021993614757,77.70589841748453,5638
2018,1,4.040717736369911,76.16028191856454,7245
2018,2,3.82909144717372,74.75923604945578,6758
2018,3,3.7524697370251845,66.5805473230988,7187
2018,4,4.161879895561357,70.28679669116462,6894
2018,5,4.193779205607477,70.87003946813343,6848
2018,6,4.278021799251667,71.11768712831915,6147
2018,7,4.264316477907162,63.50336275500257,6269
2018,8,4.256358871589333,60.78441074456605,6487
2018,9,1.8,77.81046296296296,15
2018,10,2.25,37.16569444444444,4
