date,Naive_Forecast,HoltWinters_Forecast,LSTM_Forecast
2018-08-12,675.0,1431.0687949161638,632.4146884679795
2018-08-19,675.0,1233.8802737833046,609.291941523552
2018-08-26,675.0,1144.3425046311968,601.9685550928118
2018-09-02,675.0,1131.0247001049315,604.5174881219867
2018-09-09,675.0,1216.7514963495355,613.609812021256
2018-09-16,675.0,1260.6246834979615,627.1052795648579
2018-09-23,675.0,1362.3250252068808,643.590697407723
2018-09-30,675.0,1278.847542710326,662.0942776203162
2018-10-07,675.0,1236.626449209224,685.5947778224953
2018-10-14,675.0,1400.892350385336,709.1655379533776
2018-10-21,675.0,1434.3635646674263,732.5791302919397
2018-10-28,675.0,1581.8293859472103,755.9761687517176
