,Predicted_Order_Count,Lower_CI,Upper_CI
2018-08-12,591.0000000000005,-0.1351593201724681,405234.3319803261
2018-08-19,591.0000000000005,-0.9421263410625736,6055672.797623992
2018-08-26,591.0000000000005,-0.9927340936948948,48234036.88647205
2018-09-02,591.0000000000005,-0.9987365719569518,277391340.6979812
2018-09-09,591.0000000000005,-0.9997294753966758,1295497693.8250937
2018-09-16,591.0000000000005,-0.9999328457088149,5218787865.20302
2018-09-23,591.0000000000005,-0.9999813535334906,18795196387.75399
2018-09-30,591.0000000000005,-0.9999943422966237,61944569497.6993
2018-10-07,591.0000000000005,-0.9999981542838384,189879683177.12448
2018-10-14,591.0000000000005,-0.9999993601986168,547769994274.6634
2018-10-21,591.0000000000005,-0.9999997664329666,1500485727161.1267
2018-10-28,591.0000000000005,-0.9999999108219688,3929936504785.5425
