order_month,total_orders,revenue,avg_lead_time
2016-09,3,134.97,54.0
2016-10,313,40325.11,19.124600638977636
2016-12,1,10.9,4.0
2017-01,913,111798.36,12.085432639649508
2017-02,1858,234223.4,12.61248654467169
2017-03,2897,359198.85,12.422506040731792
2017-04,2569,340669.68,14.282600233553913
2017-05,4003,489159.25,10.889582812890332
2017-06,3489,421923.37,11.472341645170536
2017-07,4416,481604.52,10.975317028985508
2017-08,4797,554699.7,10.472795497185741
2017-09,4737,607399.67,11.401942157483639
2017-10,5214,648247.65,11.26409666283084
2017-11,8474,987648.0700000001,14.580599480764691
2017-12,6187,726033.1900000001,14.786811055438823
2018-01,8037,924645.0,13.656961552818215
2018-02,7518,826437.13,16.4707368981112
2018-03,8017,953356.25,15.602469751777473
2018-04,7827,973534.09,10.877475405647118
2018-05,7810,977544.6900000001,10.858386683738797
2018-06,7007,855591.97,8.649778792635935
2018-07,6960,867486.47,8.428448275862069
2018-08,7142,838576.64,7.250630075609073
