,Predicted_Order_Count
2018-08-12,628.5942351838218
2018-08-19,668.3058518295948
2018-08-26,710.2990046409087
2018-09-02,754.7249089580437
2018-09-09,801.9139960549124
2018-09-16,852.1926582463491
2018-09-23,904.9432393923155
2018-09-30,960.877965390535
2018-10-07,1020.2662119146039
2018-10-14,1083.321206146913
2018-10-21,1150.2693403374942
2018-10-28,1221.350984641306
