date,Naive_Forecast,HoltWinters_Forecast,LSTM_Forecast
2018-08-12,675.0,1391.701543770323,669.7969208955766
2018-08-19,675.0,1399.6008526079577,684.1043750047685
2018-08-26,675.0,1408.924888063316,709.3887437582018
2018-09-02,675.0,1432.7843477875933,740.7646577358249
2018-09-09,675.0,1405.3369501857774,774.9900962114339
2018-09-16,675.0,1412.8219146879787,810.0568667650227
2018-09-23,675.0,1421.7441966484755,845.2011395692831
2018-09-30,675.0,1445.214111115751,879.9372087717063
2018-10-07,675.0,1417.389005518377,914.2519065141686
2018-10-14,675.0,1424.5077395830513,947.9030382633218
2018-10-21,675.0,1433.0749198910844,980.0876468420038
2018-10-28,675.0,1456.200523316291,1012.3107243776332
